Name,Address,Rating [1-5],Price Level [1-4],Latitude,Longitude
Applebee's Grill + Bar,"1832 Old Country Rd, Riverhead, NY 11901",4,2,40.9242953,-72.70745529999999
Bistro 72,"1830 W Main St, Riverhead, NY 11901",4.2,2,40.9192177,-72.72086139999999
Turkuaz Grill,"40 McDermott Ave, Riverhead, NY 11901",4.6,2,40.9172737,-72.6573228
Dark Horse Restaurant,"1 E Main St, Riverhead, NY 11901",4.4,2,40.9168446,-72.6623915
Sound Bistro,"3225 Sound Ave, Riverhead, NY 11901",4.2,2,40.96495150000001,-72.70883859999999
Stonewalls,"967 Reeves Ave, Riverhead, NY 11901",4.5,2,40.958129,-72.677346
Barrow Food House,"452 Main Rd, Riverhead, NY 11901",4.7,N/A,40.9442863,-72.62987269999999
Lucia,"13000 Main Rd, Mattituck, NY 11952",4.4,N/A,40.9914421,-72.5336346
Love Lane Kitchen,"240 Love Ln, Mattituck, NY 11952",4.6,2,40.992039,-72.53477
GUAVA TROPICAL RESTAURANT,"26 W Montauk Hwy, Hampton Bays, NY 11946",4,2,40.8778467,-72.52442309999999
Villa Paul,"162 W Montauk Hwy, Hampton Bays, NY 11946",4.6,2,40.87698140000001,-72.5315643
Sabor Centroamericano Restaurant,"1005 E Main St, Riverhead, NY 11901",4.2,N/A,40.927457,-72.64914519999999
Jerry and The Mermaid,"469 E Main St, Riverhead, NY 11901",4.4,2,40.9188775,-72.6552817
Barrila's Pastaria Restaurant & Bar + Catering Services & Event Venue,"300 E Main St, Riverhead, NY 11901",4.4,2,40.9182512,-72.6584022
Cucina 25,"12 W Main St #2802, Riverhead, NY 11901",4.5,2,40.9171389,-72.66244859999999
Farm Country Kitchen,"513 W Main St, Riverhead, NY 11901",4.3,1,40.9180547,-72.6715782
Hampton Gyro and Grill,"252 W Montauk Hwy, Hampton Bays, NY 11946",4.4,2,40.8679247,-72.5484302
Restaurante el Quetzal,"1020 E Main St, Riverhead, NY 11901",3.9,N/A,40.92788880000001,-72.64962849999999
Taco Bout It,"40b E Main St, Riverhead, NY 11901",4.4,2,40.9175704,-72.6615585
The Country Rotisserie,"1528 Old Country Rd, Riverhead, NY 11901",4.1,1,40.9281421,-72.69629979999999
Ruggero's Family Style Restaurant,"5768 NY-25A suite y, Wading River, NY 11792",4.1,N/A,40.9452326,-72.8201748
La Bistro,"6263 NY-25A, Wading River, NY 11792",4.6,2,40.9431084,-72.8402145
Phil's,"1856 Wading River Manor Rd, Wading River, NY 11792",4.4,2,40.9443799,-72.84198669999999
Pulaski Street Grille,"424 Pulaski St, Riverhead, NY 11901",4.6,2,40.9211803,-72.6715474
Golden Jalapenos cafe,"4486 Middle Country Rd, Calverton, NY 11933",4.6,1,40.9285682,-72.78135089999999
Desmond's Restaurant & Pub,"5720 NY-25A, Wading River, NY 11792",4.2,N/A,40.9445373,-72.8182284
Got A Guy Eatery,"4490 Middle Country Rd, Calverton, NY 11933",4.4,2,40.9285329,-72.7814271
