Name,Address,Rating [1-5],Price Level [1-4]
Bistro 72,"1830 W Main St, Riverhead, NY 11901",4.2,2
Turkuaz Grill,"40 McDermott Ave, Riverhead, NY 11901",4.6,2
Dark Horse Restaurant,"1 E Main St, Riverhead, NY 11901",4.4,2
Sound Bistro,"3225 Sound Ave, Riverhead, NY 11901",4.2,2
Stonewalls,"967 Reeves Ave, Riverhead, NY 11901",4.5,2
Barrow Food House,"452 Main Rd, Riverhead, NY 11901",4.7,N/A
Farm Country Kitchen,"513 W Main St, Riverhead, NY 11901",4.3,2
Lucia,"13000 Main Rd, Mattituck, NY 11952",4.4,N/A
Love Lane Kitchen,"240 Love Ln, Mattituck, NY 11952",4.6,2
GUAVA TROPICAL RESTAURANT,"26 W Montauk Hwy, Hampton Bays, NY 11946",4,2
Villa Paul,"162 W Montauk Hwy, Hampton Bays, NY 11946",4.6,2
Pulaski Street Grille,"424 Pulaski St, Riverhead, NY 11901",4.6,2
Sabor Centroamericano Restaurant,"1005 E Main St, Riverhead, NY 11901",4.2,N/A
Jerry and The Mermaid,"469 E Main St, Riverhead, NY 11901",4.4,2
Cucina 25,"12 W Main St #2802, Riverhead, NY 11901",4.5,2
Hampton Gyro and Grill,"252 W Montauk Hwy, Hampton Bays, NY 11946",4.5,2
Barrila's Pastaria Restaurant & Bar + Catering Services & Event Venue,"300 E Main St, Riverhead, NY 11901",4.4,2
Taco Bout It,"40b E Main St, Riverhead, NY 11901",4.4,2
The Country Rotisserie,"1528 Old Country Rd, Riverhead, NY 11901",4.1,1
Cucina Family Style Ristorante,"674 Montauk Hwy, East Quogue, NY 11942",4.5,2
Ruggero's Family Style Restaurant,"5768 NY-25A suite y, Wading River, NY 11792",4.1,N/A
La Bistro,"6263 NY-25A, Wading River, NY 11792",4.6,2
Phil's,"1856 Wading River Manor Rd, Wading River, NY 11792",4.4,2
Desmond's Restaurant & Pub,"5720 NY-25A, Wading River, NY 11792",4.2,N/A
Got A Guy Eatery,"4490 Middle Country Rd, Calverton, NY 11933",4.3,2
La Quinta,"10 Aero Rd, Bohemia, NY 11716",5,N/A
Majorelle,"28 E 63rd St, New York, NY 10065",4.7,3
Delicias Restaurant,"5114 Hudson Ave, West New York, NJ 07093",4.5,N/A
Wyckoff Restaurant,"250 Wyckoff Ave, Brooklyn, NY 11237",3.4,1
The Restaurant,"506 9th Ave, New York, NY 10018",4.2,N/A
Laly's Restaurant & Agaveria,"75-19 Roosevelt Ave, Queens, NY 11372",4.4,2
La Patrona Restaurant,"558 Southern Blvd, Bronx, NY 10455",4.4,2
Laliguras Restaurant,"37-63 76th St, Jackson Heights, NY 11372",4.2,1
95 South Soul Food Restaurant,"778 Franklin Ave, Brooklyn, NY 11238",4.2,2
La Kausa Restaurant,"7815 Bergenline Ave Suite 2, North Bergen, NJ 07047",4.5,2
Segovia Restaurant,"150 Moonachie Rd, Moonachie, NJ 07074",4.5,2
Sugar Hill Restaurant & Supper Club,"217 Nostrand Ave., Brooklyn, NY 11205",4.1,1
Lex Restaurant,"1370 Lexington Ave, New York, NY 10128",4.6,2
Jacob Restaurant,"2695 Frederick Douglass Blvd, New York, NY 10030",4.3,2
Manna's,"486 Malcolm X Blvd, New York, NY 10037",4,2
Jacob Soul Food Restaurant,"373 Malcolm X Blvd, New York, NY 10027",4.4,2
Charlie's Restaurant,"5904 Bergenline Ave, West New York, NJ 07093",4.4,1
Family Meal at Blue Hill,"75 Washington Pl, New York, NY 10011",4.6,4
Chazz Palminteri Italian Restaurant,"30 W 46th St, New York, NY 10036",4.5,3
Lhasa Fast Food,"76-03 37th Ave, Queens, NY 11372",4.4,1
El Tina Harlem Restaurant,"511 W 125th St, New York, NY 10027",4.3,1
Honey Badger | Fine Dining Restaurant,"67 Fenimore St, Brooklyn, NY 11225",4.7,N/A
Golden Blue Bar & Restaurant Inc,"2172 Clarendon Rd, Brooklyn, NY 11226",4.4,N/A
Mi Casa,"372 Communipaw Ave, Jersey City, NJ 07304",4.3,1
Royal Restaurant & Grill,"1075 Liberty Ave, Brooklyn, NY 11208",3.8,N/A
The Avenue Restaurant & Bar,"71-22 Myrtle Ave, Queens, NY 11385",4.3,1
The Williamsburg Restaurant,"96 Wythe Ave, Brooklyn, NY 11249",4.3,N/A
Rosemary's East,"350 1st Ave., New York, NY 10010",4.3,2
Oxalis,"791 Washington Ave, Brooklyn, NY 11238",4.7,3
IL Carino Restaurant,"1710 2nd Ave, New York, NY 10128",4.5,2
Brooklyn,"8012 West 17th Street, Brooklyn, NY 11214",0,N/A
Balthazar,"80 Spring St, New York, NY 10012",4.4,3
Gramercy Tavern,"42 E 20th St, New York, NY 10003",4.6,4
Kitchen Grill,"914 a Fulton St, Brooklyn, NY 11238",4.6,2
Resto,"Van Siclen Ave, Brooklyn, NY 11207",0,N/A
PASTA ZONE,"1140 Utica Ave, Brooklyn, NY 11203",0,N/A
Campos Grill,"256 Marcus Garvey Blvd, Brooklyn, NY 11221",4.8,N/A
Gotham Restaurant,"12 E 12th St, New York, NY 10003",4.5,4
Paola's,"1361 Lexington Ave, New York, NY 10128",4.5,3
Zoralie,"449 W 51st St, New York, NY 10019",4.5,1
Soco,"509 Myrtle Ave, Brooklyn, NY 11205",4.1,2
Aleli Mexican Restaurant,"7804 3rd Ave, Brooklyn, NY 11209",4.7,N/A
Tu Delicia Restaurant and Seafood,"1441 Edward L Grant Hwy, Bronx, NY 10452",4.5,2
Los Amigos Restaurant,"674 E 180th St, Bronx, NY 10457",4.3,1
Step In,"1309 Metropolitan Ave, Bronx, NY 10462",4.4,2
Melba's Restaurant,"300 W 114th St, New York, NY 10026",4.3,2
Cafe Colonial Restaurant,"2072 White Plains Rd, Bronx, NY 10462",4,2
